1,9.13462,39.2074,0,232.92
4,9.13462,39.2074,0,958.117
6,13.3995,42.3505,0,565.146
7,8.56028,40.7272,0,175.6
8,13.3598,38.1158,0,170.719
9,9.16145,45.1845,0,207.089
10,12.4839,41.8947,0,1298.15
11,12.3829,43.0967,0,216.324
12,16.5987,38.8908,0,98.4745
14,11.3387,44.4938,0,1532.08
15,9.18951,45.4643,0,365.571
17,13.78,45.6486,0,445.857
18,14.25,40.8333,0,733.152
19,15.5497,38.1933,0,97.0536
20,16.2502,39.31,0,458.964
21,15.0872,37.5021,0,1332.38
22,13.3598,38.1158,0,551.109
26,11.3387,44.4938,0,331.379
28,13.4388,42.0402,0,337.642
29,11.25,43.7667,0,709.091
30,11.25,43.7667,0,192.587
31,11.8818,45.4152,0,362.304
32,17.9368,40.6277,0,130.469
33,12.3267,45.4386,0,297.612
34,11.8818,45.4152,0,1265.44
35,9.18951,45.4643,0,1782.6
36,11.1211,46.0679,0,613.663
37,9.18951,45.4643,0,3061.6
38,9.18951,45.4643,0,715.288
39,8.93386,44.4063,0,142.105
40,7.68682,45.0705,0,793.002
41,14.766,40.678,0,262.577
42,15.8086,40.6443,0,392.344
43,14.6675,41.56,0,125.687
44,12.6687,41.8163,0,190.026
45,13.3995,42.3505,0,480.024
46,13.5101,43.5982,0,395.428
47,16.6016,40.6685,0,376.423
48,18.172,40.357,0,160.971
49,16.8512,41.1177,0,1444.91
50,15.5493,41.4609,0,174.777
53,10.2273,45.5248,0,181.453
55,12.4839,41.8947,0,3259.54
56,9.18951,45.4643,0,1281.78
57,11.6207,44.8268,0,136.113
58,9.16145,45.1845,0,500.365
59,10.3966,43.7155,0,611.187
60,12.6363,43.7262,0,19.8862
